"No.","Time","Source","Destination","IP_TTL","Query_ID","Protocol","Length","Info","domain_length","QR","RCODE","Opcode","RA","Qname","DNS_TTL","QType"
"66896","12003.073171","129.173.5.100","129.173.67.123","62","0x7093","DNS","135","Standard query response 0x7093 No such name A nopoliceqwe.ru SOA[Packet size limited during capture]","14","Message is a response","No such name","Standard query","Server can do recursive queries","nopoliceqwe.ru","","A (Host Address)"
"66910","12005.436667","129.173.67.123","129.173.5.100","128","0x5258","DNS","76","Standard query 0x5258 A ns1.cgimybin.com","16","Message is a query","","Standard query","","ns1.cgimybin.com","","A (Host Address)"
"66911","12005.451166","129.173.67.123","129.173.5.100","128","0xa4c4","DNS","76","Standard query 0xa4c4 A ns1.cgimybin.com","16","Message is a query","","Standard query","","ns1.cgimybin.com","","A (Host Address)"
"66917","12005.678774","129.173.5.100","129.173.67.123","62","0x5258","DNS","149","Standard query response 0x5258 No such name A ns1.cgimybin.com SOA[Packet size limited during capture]","16","Message is a response","No such name","Standard query","Server can do recursive queries","ns1.cgimybin.com","","A (Host Address)"
"66918","12005.678801","129.173.5.100","129.173.67.123","62","0xa4c4","DNS","149","Standard query response 0xa4c4 No such name A ns1.cgimybin.com SOA[Packet size limited during capture]","16","Message is a response","No such name","Standard query","Server can do recursive queries","ns1.cgimybin.com","","A (Host Address)"
"66919","12005.752568","129.173.67.123","129.173.5.100","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66920","12005.765919","129.173.67.123","129.173.5.100","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66922","12006.763734","129.173.67.123","129.173.22.37","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66923","12006.763790","129.173.67.123","129.173.22.38","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66924","12006.779304","129.173.67.123","129.173.22.37","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66925","12006.779354","129.173.67.123","129.173.22.38","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66931","12007.777639","129.173.67.123","129.173.5.100","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66932","12007.777673","129.173.67.123","129.173.22.37","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66933","12007.793192","129.173.67.123","129.173.5.100","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66934","12007.793219","129.173.67.123","129.173.22.37","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66941","12009.789910","129.173.67.123","129.173.22.37","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66943","12009.789940","129.173.67.123","129.173.22.38","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66944","12009.790064","129.173.67.123","129.173.5.100","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66945","12009.805495","129.173.67.123","129.173.22.37","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66946","12009.805521","129.173.67.123","129.173.22.38","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66947","12009.805615","129.173.67.123","129.173.5.100","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66955","12012.544497","129.173.5.100","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66956","12012.544565","129.173.5.100","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66957","12012.544577","129.173.5.100","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66958","12012.544585","129.173.5.100","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66959","12012.544594","129.173.5.100","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66960","12012.544601","129.173.5.100","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66961","12012.544966","129.173.5.100","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66962","12012.544982","129.173.5.100","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66966","12013.537752","129.173.22.38","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66967","12013.537794","129.173.22.38","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66968","12013.537808","129.173.22.38","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66969","12013.537818","129.173.22.38","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66970","12013.537826","129.173.22.38","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66971","12013.537834","129.173.22.38","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66972","12013.537842","129.173.22.37","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66973","12013.537857","129.173.22.37","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66974","12013.537866","129.173.22.37","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66975","12013.537873","129.173.22.37","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66976","12013.537881","129.173.22.37","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66977","12013.537889","129.173.22.37","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66978","12013.537896","129.173.22.37","129.173.67.123","62","0xf5ce","DNS","71","Standard query response 0xf5ce Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66979","12013.537904","129.173.22.37","129.173.67.123","62","0x299b","DNS","71","Standard query response 0x299b Server failure A nextnews.pl","11","Message is a response","Server failure","Standard query","Server can do recursive queries","nextnews.pl","","A (Host Address)"
"66980","12013.798905","129.173.67.123","129.173.22.37","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66981","12013.798938","129.173.67.123","129.173.22.38","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66982","12013.798955","129.173.67.123","129.173.5.100","128","0xe3e1","DNS","78","Standard query 0xe3e1 A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66983","12013.814495","129.173.67.123","129.173.22.37","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66984","12013.814523","129.173.67.123","129.173.22.38","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"66985","12013.814541","129.173.67.123","129.173.5.100","128","0xf12b","DNS","78","Standard query 0xf12b A ns1.updatesdns.org","18","Message is a query","","Standard query","","ns1.updatesdns.org","","A (Host Address)"
"67005","12017.890155","129.173.67.123","129.173.5.100","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67006","12017.903540","129.173.67.123","129.173.5.100","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67013","12018.899860","129.173.67.123","129.173.22.37","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67014","12018.899916","129.173.67.123","129.173.22.38","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67015","12018.915448","129.173.67.123","129.173.22.37","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67016","12018.915499","129.173.67.123","129.173.22.38","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67020","12019.913796","129.173.67.123","129.173.5.100","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67021","12019.913833","129.173.67.123","129.173.22.37","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67022","12019.929341","129.173.67.123","129.173.5.100","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67023","12019.929369","129.173.67.123","129.173.22.37","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67030","12021.926064","129.173.67.123","129.173.22.37","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67031","12021.926093","129.173.67.123","129.173.22.38","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67032","12021.926210","129.173.67.123","129.173.5.100","128","0x7e4d","DNS","78","Standard query 0x7e4d A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67033","12021.941662","129.173.67.123","129.173.22.37","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67034","12021.941690","129.173.67.123","129.173.22.38","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67035","12021.941785","129.173.67.123","129.173.5.100","128","0x891e","DNS","78","Standard query 0x891e A ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","A (Host Address)"
"67043","12023.185056","129.173.22.37","129.173.67.123","62","0x891e","DNS","183","Standard query response 0x891e A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","600","A (Host Address)"
"67044","12023.185081","129.173.22.37","129.173.67.123","62","0x7e4d","DNS","183","Standard query response 0x7e4d A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","600","A (Host Address)"
"67045","12023.185092","129.173.22.37","129.173.67.123","62","0x7e4d","DNS","183","Standard query response 0x7e4d A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","600","A (Host Address)"
"67046","12023.185101","129.173.22.37","129.173.67.123","62","0x891e","DNS","183","Standard query response 0x891e A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","600","A (Host Address)"
"67047","12023.185108","129.173.22.37","129.173.67.123","62","0x7e4d","DNS","183","Standard query response 0x7e4d A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","600","A (Host Address)"
"67048","12023.185114","129.173.22.37","129.173.67.123","62","0x891e","DNS","183","Standard query response 0x891e A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","600","A (Host Address)"
"67049","12023.185553","129.173.67.123","129.173.22.37","128","0x3b3c","DNS","78","Standard query 0x3b3c AAAA ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67050","12023.185569","129.173.67.123","129.173.22.37","128","0x0aea","DNS","78","Standard query 0x0aea AAAA ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67055","12024.187979","129.173.67.123","129.173.22.37","128","0x0aea","DNS","78","Standard query 0x0aea AAAA ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67056","12024.187980","129.173.67.123","129.173.22.37","128","0x3b3c","DNS","78","Standard query 0x3b3c AAAA ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67064","12026.200253","129.173.67.123","129.173.22.37","128","0x0aea","DNS","78","Standard query 0x0aea AAAA ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67065","12026.200254","129.173.67.123","129.173.22.37","128","0x3b3c","DNS","78","Standard query 0x3b3c AAAA ns2.updatesdns.org","18","Message is a query","","Standard query","","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67072","12027.075957","129.173.22.37","129.173.67.123","62","0xe3e1","DNS","183","Standard query response 0xe3e1 A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67073","12027.076010","129.173.22.37","129.173.67.123","62","0xe3e1","DNS","183","Standard query response 0xe3e1 A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67074","12027.076023","129.173.22.37","129.173.67.123","62","0xf12b","DNS","183","Standard query response 0xf12b A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67075","12027.076032","129.173.22.37","129.173.67.123","62","0xe3e1","DNS","183","Standard query response 0xe3e1 A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67076","12027.076040","129.173.22.37","129.173.67.123","62","0xf12b","DNS","183","Standard query response 0xf12b A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67077","12027.076048","129.173.22.37","129.173.67.123","62","0xe3e1","DNS","183","Standard query response 0xe3e1 A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67078","12027.076055","129.173.22.37","129.173.67.123","62","0xf12b","DNS","183","Standard query response 0xf12b A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67079","12027.076063","129.173.22.37","129.173.67.123","62","0xf12b","DNS","183","Standard query response 0xf12b A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","600","A (Host Address)"
"67081","12027.930818","129.173.22.38","129.173.67.123","62","0xe3e1","DNS","151","Standard query response 0xe3e1 A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","598","A (Host Address)"
"67082","12027.930890","129.173.22.38","129.173.67.123","62","0xf12b","DNS","151","Standard query response 0xf12b A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","598","A (Host Address)"
"67083","12027.930901","129.173.22.38","129.173.67.123","62","0xe3e1","DNS","151","Standard query response 0xe3e1 A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","598","A (Host Address)"
"67084","12027.930910","129.173.22.38","129.173.67.123","62","0xe3e1","DNS","151","Standard query response 0xe3e1 A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","598","A (Host Address)"
"67085","12027.930918","129.173.22.38","129.173.67.123","62","0xf12b","DNS","151","Standard query response 0xf12b A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","598","A (Host Address)"
"67086","12027.930925","129.173.22.38","129.173.67.123","62","0xf12b","DNS","151","Standard query response 0xf12b A ns1.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns1.updatesdns.org","598","A (Host Address)"
"67097","12029.943865","129.173.22.38","129.173.67.123","62","0x891e","DNS","183","Standard query response 0x891e A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","591","A (Host Address)"
"67098","12029.943913","129.173.22.38","129.173.67.123","62","0x7e4d","DNS","183","Standard query response 0x7e4d A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","591","A (Host Address)"
"67099","12029.943926","129.173.22.38","129.173.67.123","62","0x891e","DNS","183","Standard query response 0x891e A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","591","A (Host Address)"
"67100","12029.943936","129.173.22.38","129.173.67.123","62","0x7e4d","DNS","183","Standard query response 0x7e4d A ns2.updatesdns.org A 112.125.17.103[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","ns2.updatesdns.org","591","A (Host Address)"
"67120","12035.769004","129.173.5.100","129.173.67.123","62","0xe3e1","DNS","78","Standard query response 0xe3e1 Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67121","12035.769057","129.173.5.100","129.173.67.123","62","0xf12b","DNS","78","Standard query response 0xf12b Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67122","12035.769071","129.173.5.100","129.173.67.123","62","0xe3e1","DNS","78","Standard query response 0xe3e1 Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67123","12035.769080","129.173.5.100","129.173.67.123","62","0xf12b","DNS","78","Standard query response 0xf12b Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67124","12035.769088","129.173.5.100","129.173.67.123","62","0xe3e1","DNS","78","Standard query response 0xe3e1 Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67125","12035.769096","129.173.5.100","129.173.67.123","62","0xf12b","DNS","78","Standard query response 0xf12b Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67126","12035.769456","129.173.5.100","129.173.67.123","62","0xe3e1","DNS","78","Standard query response 0xe3e1 Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67127","12035.769472","129.173.5.100","129.173.67.123","62","0xf12b","DNS","78","Standard query response 0xf12b Server failure A ns1.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns1.updatesdns.org","","A (Host Address)"
"67171","12047.901336","129.173.5.100","129.173.67.123","62","0x7e4d","DNS","78","Standard query response 0x7e4d Server failure A ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","A (Host Address)"
"67172","12047.901396","129.173.5.100","129.173.67.123","62","0x891e","DNS","78","Standard query response 0x891e Server failure A ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","A (Host Address)"
"67173","12047.901409","129.173.5.100","129.173.67.123","62","0x7e4d","DNS","78","Standard query response 0x7e4d Server failure A ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","A (Host Address)"
"67174","12047.901418","129.173.5.100","129.173.67.123","62","0x891e","DNS","78","Standard query response 0x891e Server failure A ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","A (Host Address)"
"67175","12047.901426","129.173.5.100","129.173.67.123","62","0x7e4d","DNS","78","Standard query response 0x7e4d Server failure A ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","A (Host Address)"
"67176","12047.901433","129.173.5.100","129.173.67.123","62","0x891e","DNS","78","Standard query response 0x891e Server failure A ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","A (Host Address)"
"67191","12051.097424","129.173.67.123","129.173.22.37","128","0x4873","DNS","76","Standard query 0x4873 A dns.msftncsi.com","16","Message is a query","","Standard query","","dns.msftncsi.com","","A (Host Address)"
"67192","12051.140832","129.173.22.37","129.173.67.123","62","0x4873","DNS","394","Standard query response 0x4873 A dns.msftncsi.com A 131.107.255.255[Packet size limited during capture]","16","Message is a response","No error","Standard query","Server can do recursive queries","dns.msftncsi.com","30","A (Host Address)"
"67205","12053.187000","129.173.22.37","129.173.67.123","62","0x3b3c","DNS","78","Standard query response 0x3b3c Server failure AAAA ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67206","12053.187051","129.173.22.37","129.173.67.123","62","0x0aea","DNS","78","Standard query response 0x0aea Server failure AAAA ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67207","12053.187065","129.173.22.37","129.173.67.123","62","0x0aea","DNS","78","Standard query response 0x0aea Server failure AAAA ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67208","12053.187074","129.173.22.37","129.173.67.123","62","0x3b3c","DNS","78","Standard query response 0x3b3c Server failure AAAA ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67209","12053.187082","129.173.22.37","129.173.67.123","62","0x3b3c","DNS","78","Standard query response 0x3b3c Server failure AAAA ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67210","12053.187090","129.173.22.37","129.173.67.123","62","0x0aea","DNS","78","Standard query response 0x0aea Server failure AAAA ns2.updatesdns.org","18","Message is a response","Server failure","Standard query","Server can do recursive queries","ns2.updatesdns.org","","AAAA (IPv6 Address)"
"67519","12130.121896","129.173.67.99","129.173.22.37","64","0x69f8","DNS","79","Standard query 0x69f8 AAAA snoop.minecraft.net","19","Message is a query","","Standard query","","snoop.minecraft.net","","AAAA (IPv6 Address)"
"67520","12130.154625","129.173.22.37","129.173.67.99","62","0x69f8","DNS","164","Standard query response 0x69f8 AAAA snoop.minecraft.net SOA[Packet size limited during capture]","19","Message is a response","No error","Standard query","Server can do recursive queries","snoop.minecraft.net","","AAAA (IPv6 Address)"
"67521","12130.155005","129.173.67.99","129.173.22.37","64","0xe917","DNS","98","Standard query 0xe917[Packet size limited during capture]","","Message is a query","","Standard query","","","",""
"67522","12130.155548","129.173.22.37","129.173.67.99","62","0xe917","DNS","150","Standard query response 0xe917 No such name[Packet size limited during capture]","","Message is a response","No such name","Standard query","Server can do recursive queries","","",""
"67523","12130.156000","129.173.67.99","129.173.22.37","64","0x79e4","DNS","89","Standard query 0x79e4 AAAA snoop.minecraft.net.cs.dal.ca","29","Message is a query","","Standard query","","snoop.minecraft.net.cs.dal.ca","","AAAA (IPv6 Address)"
